V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413
681,599,606,550,507,494,452,468,481,490,443,479,453,524,515,463,470,446,468,430,442,444,380,419,391,405,369,363,365,313,275,299,280,303,270,247,265,259,249,246,282,261,255,279,266,232,214,230,221,175,199,188,169,161,193,146,160,153,173,160,143,146,140,134,129,146,127,127,127,130,120,109,110,107,119,122,138,126,121,114,100,87,103,124,93,80,103,88,75,93,69,71,93,71,68,52,84,59,72,68,69,57,54,52,61,57,54,51,55,55,57,66,42,67,47,58,56,50,51,48,32,36,56,50,59,49,61,40,48,47,47,53,30,41,36,38,29,37,33,35,44,47,32,49,29,42,34,36,42,36,34,31,32,48,36,47,37,49,21,25,36,36,37,31,34,29,39,29,32,31,25,25,30,29,29,23,27,28,28,31,20,23,23,29,33,20,20,27,20,16,20,19,22,17,20,26,19,25,17,28,23,25,31,23,19,31,14,25,30,29,19,27,18,22,18,23,22,13,20,18,12,23,6,13,12,21,11,17,13,14,13,13,15,10,8,15,4,14,13,12,18,18,16,9,13,12,15,14,12,14,22,12,14,15,14,11,13,17,11,16,13,14,10,14,15,14,14,16,13,11,19,20,17,23,12,26,19,23,16,18,22,24,28,19,14,8,14,14,9,12,14,6,9,5,10,13,7,10,9,17,4,10,13,3,7,5,7,9,9,5,13,7,5,5,3,6,3,11,5,6,5,5,8,7,4,8,8,7,7,4,9,8,10,4,4,7,9,9,6,12,3,7,3,7,3,4,9,8,2,5,9,3,3,4,4,2,3,3,6,2,2,3,3,5,1,0,5,2,3,2,2,3,3,4,3,3,3,2,2,5,4,1,1,7,3,3,5,3,2,4,3,3,3,3,5,4,0,4,7,4,8,7,6,10,4,5,8,10,12,13,9,9,13
680,629,552,508,508,494,484,489,495,437,481,402,475,507,474,471,496,458,487,448,464,448,410,426,407,387,386,350,328,319,336,314,225,268,289,281,254,284,262,250,240,257,256,246,243,253,212,192,234,181,208,196,185,183,166,167,176,160,144,142,140,137,146,124,149,137,97,113,131,124,103,99,112,123,112,111,124,112,117,87,120,106,109,98,95,94,89,83,68,85,66,84,64,88,73,83,64,82,70,67,82,57,69,55,65,65,72,52,81,62,54,68,44,44,62,36,53,54,42,46,46,51,54,47,52,53,41,46,60,46,45,43,43,37,34,26,47,47,47,46,42,32,42,43,35,42,37,33,29,35,42,50,26,39,43,24,34,35,48,34,37,33,37,29,34,39,35,29,24,25,23,29,23,28,32,30,23,26,30,32,29,23,23,21,20,21,27,23,26,20,25,21,29,18,23,21,21,22,16,28,30,21,23,26,18,15,22,27,27,32,22,25,26,15,16,17,18,18,23,14,19,11,10,18,11,10,15,15,12,10,17,9,13,9,10,19,10,10,13,11,14,18,14,15,14,12,19,14,14,15,13,18,15,18,10,11,13,8,8,14,8,12,13,11,14,11,9,14,16,18,12,12,23,14,24,17,17,34,18,22,17,21,19,21,24,16,8,18,22,13,12,10,5,10,8,12,4,8,7,10,9,5,10,7,11,10,10,7,11,11,5,9,8,7,4,6,6,10,10,8,11,10,8,8,6,6,8,9,8,4,6,9,12,6,6,7,4,5,4,6,10,5,8,3,5,5,5,4,4,3,7,12,7,3,7,1,3,5,5,6,2,3,5,5,2,3,5,3,4,6,3,4,7,1,3,0,2,0,2,1,1,2,2,2,3,1,3,3,2,5,2,0,6,1,3,2,7,6,3,5,4,4,8,11,11,8,10,7,14,13,10,10,13
728,630,595,569,517,501,481,465,466,444,473,491,484,481,486,480,471,443,443,440,390,424,448,434,404,367,388,346,309,315,338,293,261,247,288,252,287,265,263,266,228,274,239,260,257,248,208,212,202,221,198,194,182,186,166,161,147,182,168,167,148,137,162,132,130,131,130,123,113,105,118,134,107,115,111,141,108,107,90,93,126,105,94,87,105,76,111,75,75,74,80,88,71,66,65,65,64,65,70,74,58,74,56,54,57,56,59,66,66,60,52,59,65,47,58,70,50,67,42,57,57,53,53,43,31,41,43,44,38,34,41,46,40,43,50,43,46,24,44,34,48,32,46,36,32,43,38,34,44,48,38,39,45,39,34,44,42,33,35,24,23,41,38,38,28,43,18,30,33,35,48,29,31,25,24,30,30,27,30,26,19,20,26,19,16,17,26,18,29,20,19,21,21,13,19,25,13,23,27,33,20,16,38,37,24,20,30,27,23,25,28,16,21,21,15,20,19,17,16,17,11,17,7,14,16,10,16,14,21,14,13,14,10,10,16,15,15,14,13,14,14,14,9,11,14,14,12,12,12,13,10,16,14,18,11,13,17,11,12,12,10,8,10,14,18,12,10,11,14,22,17,15,9,9,19,17,20,14,16,24,11,18,13,19,15,17,9,15,8,14,7,6,4,15,12,8,7,11,5,12,10,7,11,10,5,5,12,5,8,9,8,8,14,10,2,7,7,8,12,5,9,10,7,6,5,6,6,9,8,3,6,3,6,6,7,5,7,9,5,11,1,7,3,4,9,6,7,8,3,3,4,3,6,0,8,2,1,1,4,2,2,5,3,4,7,4,5,7,4,4,2,4,2,1,2,1,2,3,2,2,2,5,2,3,1,6,3,3,1,3,4,0,6,3,4,2,6,3,4,5,2,7,5,7,7,4,7,6,4,12,10,6,7
754,633,592,529,507,469,482,440,432,471,478,482,440,452,462,468,476,486,440,451,421,418,458,453,386,392,370,362,299,321,333,319,291,309,243,282,267,234,292,273,237,257,239,268,251,239,210,215,215,193,205,161,192,208,196,144,158,141,149,140,174,149,132,159,114,131,139,118,131,117,113,97,114,107,113,120,105,132,119,108,101,116,104,90,109,91,93,79,91,81,73,76,86,78,72,73,66,64,63,72,60,82,72,51,74,59,58,64,59,61,56,50,66,69,54,43,48,57,67,42,64,48,48,38,50,54,37,49,43,47,41,44,45,49,47,50,44,38,45,27,43,31,38,34,45,39,43,52,33,31,33,30,37,38,35,53,36,30,28,46,38,31,48,29,27,46,33,33,37,27,26,30,30,30,41,38,30,17,31,24,28,30,17,24,17,18,19,29,26,20,24,21,27,14,23,22,22,32,19,15,29,21,17,26,23,26,24,33,29,27,20,20,13,23,27,20,13,22,11,19,11,19,13,18,7,14,15,18,9,19,18,18,11,16,11,13,17,16,18,12,9,10,10,6,14,17,13,9,13,14,16,17,13,16,11,17,10,10,17,13,19,7,21,11,17,11,16,15,10,11,19,10,23,17,17,17,20,20,16,13,16,19,15,17,19,5,14,14,15,9,6,3,14,5,7,9,4,10,10,6,7,10,15,4,4,7,10,8,9,11,10,11,11,10,6,6,10,12,10,10,6,4,4,7,10,9,14,5,8,7,2,10,8,7,5,4,5,8,6,5,9,8,3,4,2,5,7,6,5,2,3,5,6,4,3,7,7,1,8,4,7,1,4,4,4,6,2,2,0,2,3,4,6,4,3,3,2,0,3,2,0,1,3,3,0,3,2,2,1,2,2,0,1,8,4,5,3,2,7,5,4,6,6,18,8,8,5,11,6,10,5,13,15
550,521,439,469,450,404,397,400,380,395,367,382,406,411,430,377,384,422,377,350,371,361,355,323,351,298,301,295,268,285,263,243,233,231,213,213,200,214,224,235,226,220,180,222,199,209,164,174,159,142,147,156,141,130,109,130,120,114,135,137,96,91,95,106,99,105,89,90,84,64,79,78,80,86,66,72,87,72,75,68,72,72,88,71,54,72,59,56,62,62,55,55,50,53,47,60,53,45,50,50,46,46,41,42,39,29,33,35,38,34,37,41,42,30,40,42,33,34,29,43,32,27,38,37,35,30,29,32,34,20,24,24,28,26,32,28,33,29,30,34,21,18,26,29,24,28,31,25,20,26,21,24,27,35,29,24,26,32,19,32,29,26,23,30,26,19,20,20,20,28,27,15,22,24,18,19,11,22,15,15,25,21,16,20,17,13,12,17,19,16,11,12,15,19,10,15,20,9,11,14,12,12,13,15,10,11,20,13,20,9,13,14,12,13,16,11,12,14,9,14,11,8,10,9,8,19,7,12,6,11,13,13,9,8,5,7,5,8,7,11,9,10,11,18,8,9,11,12,22,16,10,13,7,8,8,13,16,9,10,10,6,9,8,1,8,14,10,7,9,8,12,6,5,12,5,9,15,18,6,6,9,13,6,10,5,10,6,12,8,6,6,9,6,4,5,6,3,6,8,7,2,8,5,6,6,5,6,7,6,7,4,7,7,5,5,7,7,7,7,9,10,5,6,8,9,9,5,6,12,1,10,11,6,5,1,6,3,9,3,4,1,3,4,3,8,4,5,5,5,4,3,2,6,3,3,6,2,3,3,3,6,5,4,2,5,4,2,1,4,1,4,2,5,3,2,1,6,2,2,2,5,5,3,3,1,2,3,4,1,1,3,5,1,4,3,6,4,9,8,3,4,3,5,11,11,11,7,8,14,6,11,3,11
541,496,470,413,427,393,393,400,439,374,419,452,395,395,427,378,357,432,406,379,389,353,348,349,374,346,327,293,259,266,260,260,231,225,212,215,186,227,186,176,213,192,190,199,189,173,193,171,166,159,166,133,158,131,134,135,134,124,109,107,100,93,108,88,87,93,105,80,79,82,101,96,74,85,69,73,79,90,80,77,68,81,67,76,66,64,67,74,50,63,56,64,55,56,47,51,48,60,42,53,53,51,38,44,49,39,42,40,38,44,31,59,38,40,29,34,34,39,31,36,33,33,30,20,45,28,33,31,26,39,20,33,41,25,27,32,31,23,29,29,25,33,24,30,33,23,20,34,23,21,25,21,20,26,31,31,29,18,38,24,25,27,29,19,28,25,25,19,23,31,21,27,25,25,24,27,16,22,30,17,18,16,13,27,17,22,15,12,14,17,16,19,11,13,21,17,15,11,14,16,14,12,12,14,11,16,11,12,8,9,15,13,5,13,20,8,10,6,11,14,9,12,16,12,12,10,15,8,10,10,10,12,11,14,9,7,11,7,5,8,19,5,9,17,13,9,4,5,12,11,13,14,8,6,17,11,10,7,8,9,9,9,13,10,5,12,7,12,8,10,11,5,9,11,6,10,9,11,6,13,21,9,17,10,9,8,7,7,7,5,9,6,8,5,10,6,7,3,5,5,8,8,6,7,9,6,3,5,3,3,6,2,10,12,11,7,9,11,11,7,8,6,10,6,10,5,6,7,7,4,8,8,4,10,7,7,5,8,4,5,3,4,6,8,5,4,3,4,2,2,2,5,2,2,3,4,3,1,8,3,3,6,3,3,8,0,5,7,3,0,3,2,1,4,3,3,3,3,4,2,3,4,6,4,3,2,0,4,2,3,4,2,2,1,2,6,5,6,6,3,5,7,4,7,10,11,6,9,7,6,14,12,10
533,505,445,456,424,415,369,399,383,404,409,426,385,409,399,398,403,378,402,364,413,361,357,316,343,287,311,287,261,245,241,238,209,228,201,216,168,210,209,205,213,192,214,176,173,190,161,143,148,160,165,140,138,135,122,150,123,89,107,103,85,112,113,103,82,92,86,98,104,65,88,83,95,78,81,100,83,79,88,82,63,81,60,54,75,66,65,66,66,48,46,43,55,44,56,38,42,41,42,48,45,43,48,59,36,38,44,40,37,38,42,28,45,31,45,43,33,30,31,55,37,40,45,29,24,20,33,35,25,26,37,32,28,26,26,34,25,28,23,32,26,22,24,30,25,27,32,23,15,28,31,20,31,27,22,26,31,23,32,29,25,23,15,24,22,16,21,22,21,30,28,34,34,33,19,29,19,16,18,23,15,15,24,14,19,15,10,16,14,16,14,17,12,10,18,8,19,14,19,21,24,7,13,10,16,10,14,20,21,11,11,10,12,14,12,10,17,14,17,14,11,8,10,10,8,7,12,8,5,10,18,13,8,9,10,8,7,13,7,9,14,12,12,6,7,9,6,8,7,18,12,10,7,14,17,16,9,10,9,8,9,11,9,8,5,6,8,11,13,14,13,11,11,12,11,11,6,11,12,14,9,6,4,4,7,7,10,8,7,11,12,10,5,8,4,1,10,7,9,6,5,5,3,7,6,4,1,5,9,7,5,9,5,3,6,3,13,9,9,8,7,4,7,7,9,5,5,8,11,7,9,11,8,6,8,4,6,7,6,8,5,5,4,6,3,5,4,6,6,4,4,3,4,2,3,4,3,3,5,1,5,5,3,5,2,1,2,2,3,4,3,3,8,2,4,5,4,1,4,1,3,2,7,5,2,2,3,3,3,4,4,3,4,7,3,6,1,7,7,4,5,8,6,5,8,3,5,7,6,10,7,4,14
550,439,478,419,415,407,396,387,392,390,420,373,399,416,393,406,382,371,392,382,357,349,354,330,330,327,323,311,285,261,256,239,248,210,221,229,216,198,210,173,179,211,173,189,180,164,154,185,126,171,149,156,142,136,137,142,131,117,127,124,115,113,117,102,101,88,91,88,80,95,70,80,83,73,92,70,68,74,79,84,85,73,83,63,68,62,57,58,57,46,51,58,59,44,42,56,51,51,40,42,40,36,40,39,36,40,51,41,47,41,30,38,40,32,43,36,43,29,37,26,36,34,27,34,30,30,35,29,30,33,28,28,25,25,39,21,28,29,31,16,29,27,34,25,26,30,22,36,25,29,28,30,36,26,27,31,41,31,22,24,21,28,30,23,20,11,29,23,15,31,22,24,23,20,23,26,25,26,18,15,17,14,23,13,13,15,18,10,16,20,11,19,14,14,15,8,15,7,17,15,8,11,15,15,11,15,7,19,11,19,12,16,9,15,10,8,10,12,14,11,10,11,10,9,6,11,8,9,4,15,10,5,11,7,9,9,7,4,9,8,10,10,7,14,8,14,10,10,9,14,20,6,12,8,7,8,12,13,12,18,7,6,8,7,11,7,12,13,15,15,12,11,5,12,9,12,15,8,10,7,2,4,4,9,9,4,11,9,12,11,6,3,11,7,7,2,5,6,1,6,6,8,9,4,6,5,7,5,11,8,9,5,5,3,10,3,8,5,6,12,10,4,9,12,11,7,1,4,2,5,9,6,5,3,5,5,2,3,8,5,3,4,4,6,3,4,6,4,5,4,7,4,8,1,8,3,2,2,0,3,3,4,3,6,2,4,4,2,1,5,2,2,3,2,2,4,4,2,3,0,1,4,4,1,3,1,2,3,1,3,5,4,3,6,5,2,5,2,7,5,9,6,3,8,8,7,9,18,9,11,5,6,9
571,520,478,458,438,417,402,409,395,392,433,429,416,415,449,399,400,370,375,389,383,356,375,384,348,369,341,313,287,245,223,220,244,205,211,224,222,227,202,190,211,196,199,226,203,192,154,171,160,172,151,143,123,135,119,110,90,101,102,92,102,105,114,90,97,105,94,93,89,88,102,92,76,86,76,70,93,93,67,80,86,69,81,49,57,54,73,55,60,56,62,50,48,41,58,49,41,42,58,60,42,40,43,37,43,51,33,34,39,44,36,51,37,40,38,38,38,36,42,43,25,31,34,38,22,37,35,31,28,29,29,30,40,25,26,19,25,28,35,31,29,23,27,26,30,27,24,23,25,34,29,23,30,23,24,31,20,28,25,35,29,30,18,17,34,18,41,18,16,24,26,32,14,22,25,18,18,22,25,24,15,15,16,16,18,15,16,13,13,5,17,14,17,11,16,15,17,11,12,17,15,20,23,18,11,14,13,16,14,17,14,9,15,17,15,12,11,15,15,4,9,14,10,3,11,5,13,6,9,8,13,9,5,15,9,11,6,9,10,9,10,6,14,9,15,10,6,6,11,10,10,8,10,12,9,10,6,7,5,9,12,13,4,7,7,7,13,11,12,16,4,10,14,8,6,14,11,9,9,14,8,5,6,11,9,7,6,8,10,9,3,5,7,7,9,6,8,11,5,5,6,3,7,8,4,4,8,10,7,4,5,7,7,7,6,8,12,5,8,5,6,3,6,9,13,4,5,12,6,8,4,5,5,5,5,7,4,5,4,4,4,8,7,4,4,7,2,4,6,6,2,3,4,2,2,2,4,6,6,6,7,5,4,5,6,4,2,3,2,1,0,2,0,2,2,4,5,3,1,1,4,3,3,4,6,2,0,1,3,4,0,6,0,6,7,3,3,1,6,7,8,6,9,3,6,6,14,14,9,9,10,18,8
504,510,471,434,379,403,386,390,412,398,421,424,437,485,414,406,406,427,390,423,411,383,373,395,352,348,347,282,303,306,260,247,230,214,218,232,199,217,186,207,196,192,211,216,184,158,177,163,173,156,137,150,162,128,136,104,98,120,113,132,106,101,83,117,98,97,102,88,86,88,69,87,71,91,86,85,97,77,77,80,77,58,78,57,60,56,60,54,47,51,50,47,50,46,58,67,45,38,45,43,23,41,43,42,38,40,34,32,38,51,41,34,39,52,31,39,40,41,27,38,44,33,32,30,32,34,35,34,26,35,34,25,38,24,32,31,35,33,31,38,29,25,25,32,30,26,20,23,30,35,27,26,29,34,29,23,31,25,32,20,26,26,21,32,23,21,28,22,21,20,23,22,17,16,23,29,24,23,20,28,20,16,23,16,23,12,16,17,15,15,12,19,13,20,26,18,14,12,11,21,15,14,17,12,11,12,22,15,14,10,12,12,24,14,14,16,12,15,10,9,22,15,10,13,6,8,10,10,11,6,12,7,15,9,13,7,12,7,9,14,9,8,7,5,12,10,11,7,16,12,8,6,8,11,7,13,9,6,13,7,8,8,10,9,9,12,6,15,9,8,11,12,7,9,16,8,9,7,6,7,9,11,5,7,7,6,4,4,6,6,4,6,8,8,4,7,7,8,7,8,5,5,5,10,7,3,4,12,3,4,6,6,15,9,5,8,9,2,7,5,7,3,6,7,8,12,8,6,5,3,11,6,3,9,5,8,4,5,6,4,6,3,8,7,1,7,6,4,4,5,5,1,2,7,3,4,4,6,2,2,4,4,1,3,0,3,1,1,1,2,1,3,1,1,0,2,2,3,3,2,2,1,0,2,0,5,1,2,2,1,3,6,2,3,4,8,2,1,3,9,7,7,6,8,4,6,15,6,12,6,9,15,6
