Energy,6,6,6,6,6,6,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11
Cases,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
Sheet1,2.25E-05,2.27E-05,2.32E-05,2.42E-05,2.55E-05,3.33E-05,1.59E-05,1.90E-05,2.10E-05,2.30E-05,2.51E-05,2.94E-05,3.75E-05,4.68E-05,5.55E-05,5.72E-05,5.94E-05,5.96E-05,6.09E-05,5.95E-05,4.00E-05,4.48E-05,5.32E-05,6.10E-05,7.45E-05,9.42E-05,5.29E-05,6.03E-05,6.61E-05,7.06E-05,4.87E-04,5.04E-04,5.43E-04,5.86E-04,7.26E-04,1.02E-03,2.65E-04,3.73E-04,4.80E-04,5.87E-04
Sheet2,2.17E-05,2.33E-05,2.30E-05,2.30E-05,2.64E-05,3.33E-05,1.59E-05,1.87E-05,2.07E-05,2.38E-05,2.52E-05,2.91E-05,3.88E-05,4.55E-05,5.59E-05,5.84E-05,6.08E-05,5.85E-05,6.02E-05,5.97E-05,3.94E-05,4.57E-05,5.54E-05,6.13E-05,7.56E-05,9.37E-05,5.25E-05,6.00E-05,6.37E-05,7.05E-05,4.87E-04,5.03E-04,5.43E-04,5.82E-04,7.32E-04,1.02E-03,2.67E-04,3.78E-04,4.78E-04,5.86E-04
Sheet3,2.20E-05,2.31E-05,2.24E-05,2.33E-05,2.70E-05,3.20E-05,1.53E-05,1.80E-05,2.10E-05,2.37E-05,2.55E-05,2.93E-05,3.82E-05,4.62E-05,5.45E-05,5.91E-05,6.08E-05,5.96E-05,6.00E-05,5.98E-05,3.94E-05,4.37E-05,5.31E-05,6.16E-05,7.38E-05,9.47E-05,5.48E-05,5.92E-05,6.42E-05,7.16E-05,4.87E-04,5.05E-04,5.43E-04,5.80E-04,7.29E-04,1.02E-03,2.68E-04,3.74E-04,4.84E-04,5.87E-04
Sheet4,2.17E-05,2.20E-05,2.26E-05,2.33E-05,2.65E-05,3.25E-05,1.63E-05,1.95E-05,2.07E-05,2.33E-05,2.57E-05,3.01E-05,3.78E-05,4.62E-05,5.57E-05,5.82E-05,6.02E-05,6.11E-05,5.90E-05,6.01E-05,4.02E-05,4.41E-05,5.34E-05,5.98E-05,7.62E-05,9.35E-05,5.38E-05,6.07E-05,6.55E-05,7.22E-05,4.85E-04,5.04E-04,5.43E-04,5.83E-04,7.28E-04,1.01E-03,2.64E-04,3.75E-04,4.81E-04,5.88E-04
Sheet5,2.17E-05,2.22E-05,2.31E-05,2.28E-05,2.61E-05,3.34E-05,1.49E-05,1.90E-05,2.07E-05,2.30E-05,2.59E-05,2.92E-05,3.85E-05,4.66E-05,5.42E-05,5.89E-05,6.01E-05,6.11E-05,6.13E-05,5.92E-05,4.07E-05,4.55E-05,5.31E-05,6.10E-05,7.54E-05,9.20E-05,5.29E-05,5.91E-05,6.60E-05,7.12E-05,4.88E-04,5.04E-04,5.44E-04,5.80E-04,7.26E-04,1.02E-03,2.64E-04,3.75E-04,4.77E-04,5.88E-04
Sheet6,2.26E-05,2.23E-05,2.24E-05,2.33E-05,2.70E-05,3.29E-05,1.58E-05,1.91E-05,2.09E-05,2.38E-05,2.59E-05,2.98E-05,3.78E-05,4.83E-05,5.61E-05,5.81E-05,5.97E-05,5.92E-05,6.05E-05,5.85E-05,3.99E-05,4.49E-05,5.31E-05,6.06E-05,7.47E-05,9.35E-05,5.37E-05,5.86E-05,6.41E-05,7.01E-05,4.85E-04,5.06E-04,5.44E-04,5.79E-04,7.31E-04,1.01E-03,2.64E-04,3.69E-04,4.82E-04,5.87E-04
Sheet7,2.09E-05,2.27E-05,2.32E-05,2.35E-05,2.64E-05,3.37E-05,1.63E-05,1.89E-05,2.01E-05,2.32E-05,2.58E-05,2.97E-05,3.76E-05,4.59E-05,5.42E-05,5.88E-05,6.06E-05,6.02E-05,6.12E-05,5.99E-05,3.99E-05,4.63E-05,5.25E-05,6.18E-05,7.53E-05,9.31E-05,5.29E-05,6.01E-05,6.59E-05,7.19E-05,4.84E-04,5.03E-04,5.45E-04,5.80E-04,7.26E-04,1.02E-03,2.67E-04,3.74E-04,4.81E-04,5.88E-04
Sheet8,2.20E-05,2.22E-05,2.27E-05,2.39E-05,2.62E-05,3.27E-05,1.57E-05,1.83E-05,2.10E-05,2.31E-05,2.63E-05,3.06E-05,3.75E-05,4.67E-05,5.61E-05,5.85E-05,6.10E-05,6.18E-05,5.86E-05,6.07E-05,4.06E-05,4.49E-05,5.22E-05,6.19E-05,7.60E-05,9.36E-05,5.44E-05,5.82E-05,6.63E-05,7.11E-05,4.84E-04,5.02E-04,5.46E-04,5.81E-04,7.33E-04,1.02E-03,2.70E-04,3.72E-04,4.81E-04,5.89E-04
Sheet9,2.04E-05,2.28E-05,2.33E-05,2.37E-05,2.66E-05,3.23E-05,1.56E-05,1.83E-05,2.07E-05,2.35E-05,2.49E-05,3.00E-05,3.83E-05,4.66E-05,5.47E-05,5.81E-05,6.00E-05,6.02E-05,6.03E-05,5.91E-05,4.10E-05,4.37E-05,5.22E-05,6.15E-05,7.62E-05,9.56E-05,5.35E-05,6.06E-05,6.55E-05,7.00E-05,4.84E-04,5.03E-04,5.45E-04,5.80E-04,7.28E-04,1.02E-03,2.66E-04,3.74E-04,4.85E-04,5.87E-04
Sheet10,2.12E-05,2.28E-05,2.33E-05,2.42E-05,2.74E-05,3.30E-05,1.62E-05,1.76E-05,2.05E-05,2.30E-05,2.54E-05,2.87E-05,3.83E-05,4.71E-05,5.56E-05,5.80E-05,6.04E-05,6.09E-05,5.88E-05,6.02E-05,4.03E-05,4.56E-05,5.32E-05,5.97E-05,7.62E-05,9.25E-05,5.31E-05,5.82E-05,6.50E-05,7.07E-05,4.84E-04,5.06E-04,5.45E-04,5.79E-04,7.28E-04,1.02E-03,2.67E-04,3.76E-04,4.81E-04,5.86E-04
Sheet11,2.11E-05,2.23E-05,2.17E-05,2.37E-05,2.66E-05,3.23E-05,1.54E-05,1.85E-05,2.07E-05,2.35E-05,2.68E-05,2.94E-05,3.85E-05,4.64E-05,5.43E-05,5.90E-05,6.09E-05,5.93E-05,6.08E-05,5.89E-05,4.12E-05,4.47E-05,5.43E-05,6.23E-05,7.41E-05,9.45E-05,5.35E-05,5.86E-05,6.69E-05,6.97E-05,4.87E-04,5.08E-04,5.40E-04,5.81E-04,7.29E-04,1.02E-03,2.69E-04,3.68E-04,4.77E-04,5.90E-04
